,Field_Name,Harvest Year,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Enter Crop Area (ha),Enter Total Wet Mass Harvested (kg),Enter Dry Finished Yield Mass (kg),Soil_Organic_Matter,Yield_kg_per_Ha,Yield_kg_per_Ha_Dry,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,Season
25,M7I2031,2020,965.63,350.0,17.0,52.0,403170.0,151350,2.5,7753.2692307692305,2910.576923076923,174.8,0.0,22.0,0.0,104.0,0.0,120.0,WINTER
26,M7I2032,2020,1019.04,350.0,20.0,34.0,297060.0,118590,2.5,8737.058823529413,3487.9411764705883,174.8,35.0,0.0,85.0,0.0,0.0,90.0,WINTER
27,M7I2033,2020,1034.53,350.0,19.0,30.0,259120.0,103570,2.5,8637.333333333334,3452.333333333333,174.8,0.0,22.0,0.0,104.0,0.0,120.0,WINTER
28,M7I2034,2020,1211.95,350.0,16.0,54.0,318510.0,167310,2.5,5898.333333333333,3098.333333333333,115.0,0.0,22.0,0.0,104.0,0.0,108.0,WINTER
29,M7I2027,2020,1238.38,350.0,23.0,41.0,271290.0,143050,2.5,6616.829268292683,3489.0243902439024,92.0,0.0,33.0,0.0,156.0,0.0,90.0,WINTER
30,M7I2028,2020,1107.38,350.0,19.0,96.0,535870.0,267670,2.5,5581.979166666667,2788.2291666666665,181.7,0.0,33.0,0.0,156.0,0.0,108.0,WINTER
32,M7I2029,2020,1084.94,350.0,19.0,50.0,292250.0,152790,2.5,5845.0,3055.8,179.4,0.0,33.0,0.0,156.0,0.0,90.0,WINTER
33,M7V2036,2020,1426.97,450.0,25.0,102.0,710380.0,443630,2.3162500000000006,6964.509803921569,4349.313725490196,187.68,0.0,24.2,0.0,114.4,0.0,120.0,SUMMER
35,M6V2074,2020,-1118.18,450.0,15.0,70.0,811050.0,358160,3.320000000000001,11586.42857142857,5116.571428571428,0.0,23.0,0.0,75.9,0.0,0.0,0.0,SUMMER
37,M6V2075,2020,-1069.08,450.0,15.0,72.0,489010.0,236390,3.05,6791.805555555556,3283.1944444444443,0.0,23.0,0.0,75.9,0.0,0.0,0.0,SUMMER
39,M6V2076,2020,-611.26,450.0,15.0,60.0,651620.0,327770,2.620000000000001,10860.333333333334,5462.833333333333,0.0,26.0,0.0,85.8,0.0,0.0,0.0,SUMMER
40,M6V2077,2020,-562.59,450.0,15.0,62.5,738960.0,335560,2.5842857142857145,11823.36,5368.96,0.0,23.5,0.0,77.55,0.0,0.0,0.0,SUMMER
41,M6I2017,2020,124.6,350.0,14.0,26.0,171960.0,85950,2.5,6613.846153846154,3305.769230769231,0.0,37.125,62.425,0.0,119.6,0.0,0.0,WINTER
42,M6V2042,2020,827.28,450.0,10.0,56.0,760660.0,325180,2.575555555555556,13583.214285714286,5806.785714285715,0.0,37.125,37.125,0.0,0.0,0.0,0.0,SUMMER
44,M6V2085,2020,-37.64,450.0,13.0,28.0,205680.0,94510,2.5,7345.714285714285,3375.3571428571427,0.0,37.125,37.125,0.0,0.0,0.0,0.0,SUMMER
46,M6V2086,2020,58.13,450.0,15.0,45.0,376730.0,176570,2.47,8371.777777777777,3923.777777777778,0.0,37.125,37.125,0.0,0.0,0.0,0.0,SUMMER
47,M6V2019,2020,456.65,450.0,20.0,105.0,565760.0,253510,2.5,5388.190476190476,2414.3809523809523,92.0,0.0,52.83,0.0,1.56,0.0,90.0,SUMMER
49,M6V2020,2020,585.01,450.0,18.0,20.0,122650.0,51730,2.3,6132.5,2586.5,92.0,0.0,52.5,0.0,0.0,0.0,90.0,SUMMER
50,M6V2021,2020,158.27,450.0,17.0,39.0,105090.0,37410,2.7,2694.6153846153848,959.2307692307692,92.0,0.0,52.5,0.0,0.0,0.0,90.0,SUMMER
51,M6V2022,2020,312.2,450.0,18.0,48.0,174050.0,83770,2.2,3626.0416666666665,1745.2083333333333,27.6,0.0,58.8,0.0,0.0,0.0,90.0,SUMMER
53,M6V2023,2020,821.49,450.0,21.0,29.0,65890.0,26100,1.9,2272.0689655172414,900.0,92.0,0.0,52.5,0.0,0.0,0.0,90.0,SUMMER
54,M6V2024,2020,550.49,450.0,15.0,52.0,241410.0,98470,2.2,4642.5,1893.6538461538464,92.0,0.0,52.5,0.0,0.0,0.0,90.0,SUMMER
55,M6V2005,2020,647.47,450.0,20.0,113.9,1027080.0,508300,2.68,9017.383669885863,4462.686567164179,147.2,24.48,1.1,119.68,5.2,0.0,139.8,SUMMER
57,M6V2006,2020,-370.11,450.0,14.0,114.2,889330.0,446440,2.68,7787.478108581436,3909.281961471104,46.0,24.48,0.8800000000000001,119.68,4.16,0.0,139.8,SUMMER
59,M6I2049,2020,-653.39,350.0,15.0,98.0,655410.0,269900,2.5,6687.857142857143,2754.081632653061,0.0,0.0,16.5,0.0,78.0,0.0,0.0,WINTER
60,M6V2073,2020,575.44,450.0,16.0,52.0,435620.0,184570,3.03695652173913,8377.307692307691,3549.423076923077,92.0,14.0,0.0,105.0,0.0,56.0,120.0,SUMMER
62,M6I20151,2020,920.28,350.0,13.0,41.0,199020.0,85220,2.5,4854.146341463415,2078.5365853658536,92.0,0.0,25.3,0.0,119.6,0.0,132.0,WINTER
63,M6I2069,2020,922.04,350.0,13.0,86.0,422010.0,184590,2.5,4907.093023255814,2146.395348837209,184.0,0.0,25.3,0.0,119.6,0.0,132.0,WINTER
64,M6V2034,2020,917.31,450.0,14.0,41.0,407340.0,208070,2.4,9935.121951219511,5074.878048780488,92.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
65,M6V2035,2020,152.32,450.0,15.0,44.0,287670.0,145560,2.5,6537.954545454545,3308.181818181818,92.0,0.0,25.3,0.0,119.6,0.0,0.0,SUMMER
66,M6I2052,2020,-841.28,350.0,15.0,120.0,404800.0,391560,2.5,3373.333333333333,3263.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,WINTER
67,M6I20167,2020,791.93,350.0,10.0,35.0,152740.0,64610,2.5,4364.0,1846.0,92.0,36.0,0.0,108.0,0.0,54.0,96.0,WINTER
68,M6I20168,2020,1052.09,350.0,16.0,37.5,267350.0,116670,2.5,7129.333333333333,3111.2,92.0,36.0,0.0,108.0,0.0,54.0,216.0,WINTER
70,M2V2027,2020,3214.68,450.0,16.0,190.0,598480.0,316240,2.5,3149.894736842105,1664.421052631579,315.1,0.0,71.35810000000001,0.0,337.3292,0.0,162.0,SUMMER
71,M6I2093,2020,280.04,350.0,18.0,20.0,142020.0,77930,2.5,7101.0,3896.5,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
72,M6I2094,2020,286.06,350.0,19.0,30.0,199190.0,107280,2.5,6639.666666666667,3576.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
73,M6I2095,2020,1077.33,350.0,15.0,20.0,129790.0,62000,2.5,6489.5,3100.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
75,M6I2096,2020,1258.23,350.0,21.0,20.0,166600.0,88850,2.5,8330.0,4442.5,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
76,M6I2097,2020,1109.83,350.0,16.0,54.0,371160.0,207120,2.5,6873.333333333333,3835.555555555556,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
78,M6I2098,2020,1058.22,350.0,13.0,42.0,301770.0,151760,2.5,7185.0,3613.3333333333335,0.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
79,M6V2052,2020,-82.91,450.0,9.0,137.0,760190.0,380700,2.86,5548.832116788321,2778.832116788321,69.0,150.7,0.0,0.0,0.0,0.0,0.0,SUMMER
81,M6I2038,2020,-559.76,350.0,15.0,47.57,399540.0,207760,2.5,8398.99096068951,4367.458482236704,0.0,0.0,17.93,0.0,84.76,0.0,69.6,WINTER
82,M6I2041,2020,-469.93,350.0,15.0,73.43,650170.0,359810,2.5,8854.282990603295,4900.040855236279,0.0,0.0,25.52,0.0,120.64,0.0,117.6,WINTER
83,M6I2042,2020,-559.94,350.0,15.0,94.81,820530.0,443500,2.5,8654.46682839363,4677.776605843265,0.0,0.0,13.75,0.0,65.0,0.0,123.6,WINTER
85,M6I2043,2020,-576.1,350.0,15.0,92.44,711090.0,333780,2.5,7692.449156209434,3610.774556469061,0.0,0.0,15.84,0.0,74.88,0.0,121.8,WINTER
86,M6I2044,2020,167.25,350.0,15.0,94.81,867210.0,490580,2.5,9146.819955700876,5174.348697394789,87.4,0.0,20.7306,0.0,97.9992,0.0,105.0,WINTER
87,M6I2045,2020,-517.03,350.0,15.0,94.81,816240.0,472520,2.5,8609.218436873747,4983.862461765636,0.0,0.0,20.5183,0.0,96.9956,0.0,111.6,WINTER
88,M6I2046,2020,-492.96,350.0,15.0,80.64,722320.0,391640,2.5,8957.34126984127,4856.646825396825,0.0,0.0,23.87,0.0,112.84,0.0,82.8,WINTER
90,M6I2047,2020,94.93,350.0,15.0,116.0,1052030.0,605760,2.5,9069.224137931034,5222.068965517241,87.4,0.0,13.2,0.0,62.4,0.0,84.0,WINTER
92,M6I2048,2020,147.03,350.0,15.0,109.4,1084280.0,623240,2.5,9911.151736745886,5696.892138939671,87.4,0.0,13.2,0.0,62.4,0.0,145.99800000000002,WINTER
94,M2I2036,2020,-598.51,350.0,15.0,121.0,864040.0,459320,2.5,7140.826446280992,3796.03305785124,0.0,0.0,22.0,0.0,104.0,0.0,0.0,WINTER
95,M2I2037,2020,-563.55,350.0,15.0,167.0,1377420.0,737190,2.5,8248.023952095808,4414.311377245509,0.0,0.0,22.0,0.0,104.0,0.0,0.0,WINTER
96,M2V2017,2020,813.39,450.0,23.0,111.0,963830.0,384180,2.5,8683.153153153153,3461.0810810810813,55.2,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
97,M6I20130,2020,890.3,350.0,16.0,120.0,1115660.0,502720,2.5,9297.166666666666,4189.333333333333,161.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
99,M6I20131,2020,40.85,350.0,15.0,85.0,722560.0,309980,2.5,8500.70588235294,3646.823529411765,69.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
101,M7I2076,2020,866.61,350.0,15.0,85.0,395580.0,174620,2.5,4653.882352941177,2054.3529411764707,184.0,0.0,17.05,0.0,80.6,0.0,102.0,WINTER
103,M7I2077,2020,1129.61,350.0,19.0,118.0,710600.0,318420,2.5,6022.033898305085,2698.4745762711864,105.8,0.0,16.72,0.0,79.04,0.0,111.0,WINTER
105,M7I2078,2020,1070.73,350.0,21.0,70.0,505520.0,295680,2.5,7221.714285714285,4224.0,92.0,0.0,16.72,0.0,79.04,0.0,117.0,WINTER
106,M7V2067,2020,1106.38,450.0,17.0,90.0,736670.0,297540,2.5,8185.222222222223,3306.0,92.0,0.0,22.0,0.0,104.0,0.0,120.0,SUMMER
107,M6I20152,2020,950.98,350.0,21.0,110.83,261720.0,124530,2.5,2361.45447983398,1123.612740232789,184.0,0.0,25.3,0.0,119.6,0.0,0.0,WINTER
108,M6I20153,2020,1043.16,350.0,22.0,111.06,514590.0,265020,2.5,4633.441383036196,2386.2776877363585,92.0,0.0,25.3,0.0,119.6,0.0,0.0,WINTER
109,M6I20154,2020,423.63,350.0,13.0,103.94,505240.0,263530,2.5,4860.881277660189,2535.405041370021,138.0,0.0,25.3,0.0,119.6,0.0,0.0,WINTER
111,M6I20155,2020,919.91,350.0,13.0,111.24,555770.0,298060,2.5,4996.134483998562,2679.4318590435096,92.0,0.0,25.3,0.0,119.6,0.0,120.0,WINTER
113,M7I2024,2020,870.74,350.0,20.0,78.0,425970.0,227680,2.5,5461.153846153846,2918.974358974359,55.2,0.0,22.33,0.0,105.56,0.0,120.0,WINTER
115,M7I2025,2020,976.89,350.0,20.0,28.0,180930.0,90500,2.5,6461.785714285715,3232.1428571428573,117.3,0.0,22.33,0.0,105.56,0.0,90.0,WINTER
116,M7I2026,2020,881.41,350.0,18.0,212.0,1524400.0,855040,2.5,7190.566037735849,4033.2075471698113,82.8,0.0,22.33,0.0,105.56,0.0,120.0,WINTER
118,M7V2029,2020,1255.56,450.0,25.0,125.0,1104220.0,552110,2.5,8833.76,4416.88,59.8,0.0,23.1,0.0,109.2,0.0,120.0,SUMMER
119,M7V2030,2020,914.34,450.0,23.0,110.0,852820.0,478690,2.5,7752.909090909091,4351.727272727273,59.8,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
120,M7V2031,2020,820.02,450.0,21.0,22.0,133650.0,75400,2.5,6075.0,3427.2727272727275,59.8,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
121,M7V2032,2020,689.96,450.0,15.0,47.0,274880.0,137770,2.5,5848.510638297872,2931.276595744681,59.8,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
122,M7V2033,2020,-194.42,450.0,18.0,84.0,681870.0,391670,2.5,8117.5,4662.738095238095,59.8,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
123,M7V2034,2020,1248.87,450.0,26.0,130.0,1036720.0,522090,2.5,7974.7692307692305,4016.076923076923,59.8,0.0,23.1,0.0,109.2,0.0,120.0,SUMMER
125,M6I2012,2020,-577.94,350.0,15.0,104.0,781300.0,398230,2.5,7512.5,3829.1346153846152,0.0,0.0,22.0,0.0,104.0,72.0,0.0,WINTER
126,M6I2013,2020,163.09,350.0,15.0,104.0,892210.0,446440,2.5,8578.942307692309,4292.692307692308,92.0,0.0,22.0,0.0,104.0,72.0,0.0,WINTER
128,M6I2014,2020,496.51,350.0,15.0,89.0,686100.0,367160,2.5,7708.988764044944,4125.393258426966,92.0,90.0,22.0,0.0,104.0,72.0,0.0,WINTER
130,M7V2023,2020,-493.88,450.0,13.0,105.0,890050.0,386990,4.5,8476.666666666666,3685.619047619048,92.0,0.0,17.6,0.0,83.2,0.0,120.0,SUMMER
131,M7V2024,2020,1135.37,450.0,16.0,108.0,1231150.0,588240,2.5,11399.537037037036,5446.666666666667,92.0,0.0,16.5,0.0,78.0,0.0,120.0,SUMMER
133,M7V2025,2020,-1146.97,450.0,23.0,120.0,784140.0,383680,4.5,6534.5,3197.333333333333,92.0,0.0,22.0,0.0,104.0,0.0,120.0,SUMMER
135,M7V2026,2020,-665.73,450.0,15.0,105.0,958700.0,502460,4.8,9130.47619047619,4785.333333333333,92.0,0.0,16.5,0.0,78.0,0.0,120.0,SUMMER
136,M7V2027,2020,-1427.07,450.0,19.0,120.0,1057730.0,492580,5.3,8814.416666666666,4104.833333333333,92.0,0.0,16.5,0.0,78.0,0.0,108.0,SUMMER
137,M7V2028,2020,-1074.05,450.0,28.0,120.0,920220.0,397070,4.6,7668.5,3308.9166666666665,92.0,0.0,23.1,0.0,109.2,0.0,120.0,SUMMER
138,M7I2012,2020,1102.21,350.0,20.0,80.0,697020.0,383570,2.5,8712.75,4794.625,92.0,0.0,17.6,0.0,83.2,0.0,108.0,WINTER
139,M7I2013,2020,1018.44,350.0,16.0,43.0,375860.0,207170,2.5,8740.93023255814,4817.906976744186,92.0,0.0,17.6,0.0,83.2,0.0,102.0,WINTER
140,M7I2014,2020,1009.29,350.0,16.0,90.0,553800.0,331670,2.5,6153.333333333333,3685.222222222222,186.3,0.0,22.0,0.0,104.0,0.0,120.0,WINTER
142,M7I2015,2020,961.43,350.0,13.0,80.0,568230.0,302640,2.5,7102.875,3783.0,183.08,0.0,24.2,0.0,114.4,0.0,108.0,WINTER
143,M7I2016,2020,1064.11,350.0,15.0,130.0,1214140.0,554740,2.5,9339.53846153846,4267.2307692307695,182.16,0.0,24.2,0.0,114.4,0.0,108.0,WINTER
145,M7I2017,2020,1038.79,350.0,15.0,80.0,747860.0,340800,2.5,9348.25,4260.0,181.7,0.0,22.0,0.0,104.0,0.0,108.0,WINTER
146,M7I2018,2020,876.16,350.0,12.0,65.0,357160.0,202330,2.5,5494.769230769231,3112.769230769231,181.7,0.0,24.2,0.0,114.4,0.0,108.0,WINTER
147,M7I2035,2020,1058.31,350.0,15.0,45.0,396190.0,211330,2.5,8804.222222222223,4696.222222222223,92.0,0.0,24.2,0.0,114.4,0.0,90.0,WINTER
148,M7V2006,2020,1056.86,450.0,20.0,80.0,189590.0,92990,2.5,2369.875,1162.375,188.6,0.0,24.2,0.0,114.4,0.0,132.0,SUMMER
149,M7V2007,2020,-1373.27,450.0,14.0,100.0,668340.0,301820,4.6,6683.4,3018.2,94.76,0.0,22.0,0.0,104.0,0.0,132.0,SUMMER
150,M7V2008,2020,222.16,450.0,13.0,55.0,381230.0,144100,3.5487804878048776,6931.454545454545,2620.0,185.38,0.0,22.0,0.0,104.0,0.0,126.0,SUMMER
151,M7V2009,2020,-510.9,450.0,16.0,40.0,166690.0,85380,4.5285714285714285,4167.25,2134.5,187.68,0.0,22.0,0.0,104.0,0.0,120.0,SUMMER
152,M7V2010,2020,-811.34,450.0,16.0,100.0,639000.0,276300,5.0,6390.0,2763.0,185.38,0.0,22.0,0.0,104.0,0.0,126.0,SUMMER
153,M7V2011,2020,-1247.12,450.0,17.0,43.0,387110.0,150390,4.6,9002.558139534884,3497.4418604651164,94.3,0.0,22.0,0.0,104.0,0.0,120.0,SUMMER
154,M7V2012,2020,-519.56,450.0,19.0,75.0,644890.0,356880,4.8,8598.533333333333,4758.4,186.3,0.0,22.0,0.0,104.0,0.0,132.0,SUMMER
155,M7V2013,2020,-577.56,450.0,14.0,130.0,556300.0,214170,5.5,4279.2307692307695,1647.4615384615386,189.98,0.0,24.2,0.0,114.4,0.0,120.0,SUMMER
157,M7V2014,2020,561.83,450.0,24.0,70.0,428600.0,203760,3.4,6122.857142857143,2910.8571428571427,186.3,0.0,24.2,0.0,114.4,0.0,122.4,SUMMER
159,M4V2061,2020,181.96,450.0,17.0,100.0,714620.0,430560,2.5,7146.2,4305.6,98.6424,0.0,0.55,0.0,2.6,0.0,90.0,SUMMER
161,M6V2050,2020,-1724.9,450.0,9.0,22.0,123370.0,45540,4.05,5607.727272727273,2070.0,0.0,97.5,0.33,35.0,1.56,115.0,0.0,SUMMER
162,M6V2051,2020,-1769.89,450.0,12.0,23.0,132700.0,41240,4.2,5769.565217391304,1793.0434782608695,0.0,97.5,0.33,35.0,1.56,115.0,0.0,SUMMER
163,M6V2043,2020,1628.68,450.0,13.0,44.0,241640.0,104220,0.15,5491.818181818182,2368.6363636363635,0.0,224.5,0.0,87.5,0.0,132.5,0.0,SUMMER
164,M6V2044,2020,394.27,450.0,11.0,75.0,312170.0,141540,1.6800000000000002,4162.266666666666,1887.2,0.0,224.5,0.0,87.5,0.0,132.5,0.0,SUMMER
166,M2I2029,2020,592.87,350.0,8.0,120.0,991350.0,572400,2.5,8261.25,4770.0,174.8,0.0,0.0,0.0,0.0,0.0,120.0,WINTER
167,M2I2030,2020,678.78,350.0,13.0,100.0,773760.0,402590,2.5,7737.6,4025.9,174.8,0.0,0.0,0.0,0.0,0.0,120.0,WINTER
168,M2I2031,2020,662.85,350.0,11.0,118.0,1006540.0,567690,2.5,8530.0,4810.932203389831,174.8,0.0,0.0,0.0,0.0,0.0,120.0,WINTER
169,M4V2043,2020,-325.26,450.0,23.0,70.4,667120.0,365710,2.5,9476.136363636362,5194.744318181818,0.0,50.0,2.6500000000000004,0.0,2.6,50.0,0.0,SUMMER
171,M4V2044,2020,198.65,450.0,20.0,90.0,800630.0,436100,2.16,8895.888888888889,4845.555555555556,0.0,149.6,2.6500000000000004,138.6,2.6,95.0,0.0,SUMMER
172,M7V2047,2020,-917.13,450.0,10.0,40.0,154130.0,44500,4.5,3853.25,1112.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
174,M6V2045,2020,-900.04,450.0,11.0,94.0,461410.0,192820,3.61,4908.617021276596,2051.276595744681,0.0,227.0,0.0,87.5,0.0,135.0,0.0,SUMMER
176,M2I2021,2020,786.73,350.0,12.0,150.0,1240730.0,748030,2.5,8271.533333333333,4986.866666666667,115.0,0.0,22.0,0.0,104.0,0.0,0.0,WINTER
178,M2I2023,2020,793.47,350.0,12.0,160.0,1367450.0,813090,2.5,8546.5625,5081.8125,115.0,0.0,22.0,0.0,104.0,0.0,0.0,WINTER
179,M2I2033,2020,706.08,350.0,11.0,87.0,682520.0,383650,2.5,7845.057471264367,4409.770114942528,82.8,0.0,22.0,0.0,104.0,0.0,0.0,WINTER
180,M2V2014,2020,657.14,450.0,14.0,164.0,1569840.0,625270,2.5,9572.19512195122,3812.621951219512,55.2,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
181,M6V2068,2020,194.58,450.0,15.0,145.0,1167410.0,696130,2.47,8051.103448275862,4800.896551724138,69.0,101.2,0.0,0.0,0.0,0.0,0.0,SUMMER
183,M4V2011,2020,985.51,450.0,15.0,48.0,536400.0,292180,2.5,11175.0,6087.083333333333,139.38,0.0,0.0,0.0,0.0,0.0,81.0,SUMMER
184,M7V2059,2020,363.12,450.0,14.0,87.0,157380.0,61690,2.8,1808.9655172413795,709.080459770115,115.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
185,M7V2060,2020,-162.48,450.0,10.0,27.0,50770.0,17800,3.4,1880.3703703703704,659.2592592592592,115.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
186,M7V2061,2020,1640.06,450.0,12.0,77.5,273810.0,135890,0.95,3533.032258064516,1753.4193548387098,115.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
187,M7V2037,2020,295.28,450.0,24.0,102.0,980650.0,500520,3.5,9614.21568627451,4907.058823529412,92.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
189,M7V2038,2020,218.81,450.0,24.0,43.0,461160.0,232930,3.65,10724.651162790698,5416.976744186047,92.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
190,M4V2007,2020,996.19,450.0,15.0,40.0,298730.0,166390,2.726315789473684,7468.25,4159.75,121.9,0.0,0.0,0.0,0.0,0.0,132.0,SUMMER
191,M4V2008,2020,-476.89,450.0,15.0,30.0,248070.0,129690,4.366666666666666,8269.0,4323.0,108.1,0.0,0.0,0.0,0.0,0.0,130.8,SUMMER
192,M4V2009,2020,-152.04,450.0,14.0,68.0,538130.0,282950,4.057142857142857,7913.676470588235,4161.029411764706,112.7,0.0,0.0,0.0,0.0,0.0,105.0,SUMMER
193,M4V2010,2020,-204.65,450.0,11.0,60.0,449240.0,243220,4.1875,7487.333333333333,4053.6666666666665,212.98,0.0,0.0,0.0,0.0,0.0,130.8,SUMMER
194,M6V2078,2020,-181.11,450.0,21.0,93.0,744770.0,351980,2.9,8008.279569892473,3784.7311827956983,92.0,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
196,M4V2045,2020,-8.44,450.0,18.0,21.3,197640.0,90380,4.1,9278.87323943662,4243.192488262911,188.6,0.0,20.9,0.0,98.8,0.0,78.0,SUMMER
197,M4V2046,2020,304.35,450.0,17.0,21.7,175190.0,82900,3.6,8073.271889400922,3820.276497695853,188.6,0.0,20.9,0.0,98.8,0.0,78.0,SUMMER
198,M4V2047,2020,795.7,450.0,10.0,22.4,192560.0,95010,2.5,8596.428571428572,4241.517857142858,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
199,M4V2048,2020,122.23,450.0,12.0,35.3,252040.0,98420,3.4,7139.943342776204,2788.101983002833,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
200,M4V2049,2020,247.1,450.0,10.0,35.4,272190.0,122320,3.2,7688.983050847458,3455.367231638418,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
201,M4V2050,2020,-380.29,450.0,9.0,57.0,357480.0,183210,4.0,6271.578947368421,3214.2105263157896,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
202,M4V2051,2020,763.64,450.0,8.0,61.9,486640.0,255490,2.5,7861.712439418417,4127.46365105008,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
203,M4V2052,2020,742.03,450.0,10.0,76.6,527960.0,252040,2.5,6892.428198433421,3290.339425587468,188.6,0.0,0.0,0.0,0.0,0.0,78.0,SUMMER
205,M2V2016,2020,-271.76,450.0,17.0,164.0,816350.0,416010,2.5,4977.743902439024,2536.6463414634145,62.1,0.0,0.0,0.0,0.0,0.0,60.0,SUMMER
